Salary,NBA_Country,Age,Tm,MP,PER,TS%,3PAr,FTr,STL%,BLK%,USG%
17190000,United Kingdo...,32,LAL,13,5.5,0.5,0,0,3.7,0,9.8
2759280,USA,21,DET,1339,11.6,0.55,0.42,0.157,1.5,0.9,16.9
1974159,USA,28,TOT,708,10.2,0.587,0.72,0.104,0.6,0.8,14.9
50000,Dominican Rep...,24,DET,8,-15.5,0,0,0,0,0,16.6
2947305,Brazil,25,TOR,404,17.5,0.661,0.234,0.364,2.8,8.3,11.3
2116955,Cameroon,31,HOU,1507,10.1,0.601,0.506,0.271,2.1,1.4,12.7
7000000,USA,31,LAC,2527,20.5,0.575,0.391,0.36,1.6,0.6,29.9
6286560,USA,20,LAL,1780,12.5,0.444,0.523,0.126,2.4,2,17.4
33285709,USA,33,CLE,2898,28.5,0.62,0.254,0.33,1.9,2.1,31.4
3821640,Finland,20,CHI,1949,15.3,0.551,0.466,0.188,0.9,1.8,21.7
1471382,USA,25,TOT,1367,20.3,0.613,0.031,0.338,3,2.1,15.8
148318,USA,27,TOT,70,3,0.354,0.375,0,0,0,16.7
6666667,USA,26,DET,782,12.3,0.509,0.648,0.112,1.9,0.6,19
6655325,USA,29,NYK,1302,6.4,0.512,0.476,0.21,1.1,0.9,10.5
4180000,USA,27,IND,1747,12.4,0.501,0.321,0.173,1.2,0.8,21.8
21461010,USA,32,SAS,2416,25.2,0.573,0.07,0.303,0.8,3,29.1
18868625,Australia,25,BOS,1931,25.1,0.61,0.374,0.24,1.7,0.7,31.1
4666500,USA,29,OKC,59,5.9,0.43,0.238,0.619,0.8,0,21.6
4087500,USA,27,NYK,1289,19.4,0.623,0.037,0.339,1.3,6,17
28703704,USA,31,TOR,2387,19.6,0.6,0.63,0.283,1.7,0.5,21.6
1423560,USA,22,LAL,2383,14.4,0.551,0.418,0.201,1,1.1,22.5
7000000,USA,36,CLE,1516,13.5,0.651,0.779,0.149,0.9,1.5,16.1
92160,USA,26,DAL,409,9.8,0.439,0.185,0.444,2,1.3,13
2151704,USA,24,SAS,1906,15.7,0.579,0.13,0.326,2.9,2.5,13.5
4503600,Latvia,22,NYK,1553,20.4,0.539,0.256,0.309,1.1,6.4,31
4046760,USA,23,CHI,1525,14.5,0.488,0.201,0.173,3.3,1.6,24.7
8393000,USA,28,SAC,1391,17.5,0.566,0,0.19,1.7,2.2,15.2
17826150,USA,27,GSW,2369,16.1,0.601,0.442,0.087,1.1,1.1,23.4
